,name,fulName,id,total_count,error_total,iac_count,error_iac,iacPercent,error_percent,isCriteria2Met
1458,wikimedia-annualreport,wikimedia/wikimedia-annualreport,30406314,624,0,0,0,0.0,0,0
1459,swagger-ui,wikimedia/swagger-ui,30320146,0,0,0,0,0.0,1,0
1460,analytics-proof-of-concept,wikimedia/analytics-proof-of-concept,30307271,0,0,0,0,0.0,1,0
1461,mediawiki-extensions-Buggy,wikimedia/mediawiki-extensions-Buggy,30296670,24,0,0,0,0.0,0,0
1462,operations-debs-dropwizard-metrics,wikimedia/operations-debs-dropwizard-metrics,30247815,0,0,0,0,0.0,1,0
1463,operations-debs-yammer-metrics,wikimedia/operations-debs-yammer-metrics,30247593,0,0,0,0,0.0,1,0
1464,restbase-mod-table-sqlite,wikimedia/restbase-mod-table-sqlite,30235380,14,0,0,0,0.0,0,0
1465,mediawiki-tools-schroot,wikimedia/mediawiki-tools-schroot,30215776,6,0,0,0,0.0,0,0
1466,integration-composer,wikimedia/integration-composer,30046277,946,0,0,0,0.0,0,0
1467,mediawiki-services-tardist,wikimedia/mediawiki-services-tardist,29940902,1,0,0,0,0.0,0,0
1468,mediawiki-extensions-VikiTitleIcon,wikimedia/mediawiki-extensions-VikiTitleIcon,29469801,37,0,0,0,0.0,0,0
1469,FirefoxWikimediaDebug,wikimedia/FirefoxWikimediaDebug,29439764,21,0,0,0,0.0,0,0
1470,mediawiki-extensions-WikibaseView,wikimedia/mediawiki-extensions-WikibaseView,29300426,1,0,0,0,0.0,0,0
1471,mediawiki-extensions-Link_Attributes,wikimedia/mediawiki-extensions-Link_Attributes,29245939,31,0,0,0,0.0,0,0
1472,mediawiki-skins-Tempo,wikimedia/mediawiki-skins-Tempo,29245783,125,0,0,0,0.0,0,0
1473,operations-debs-nutcracker,wikimedia/operations-debs-nutcracker,29185907,134,0,0,0,0.0,0,0
1474,ores,wikimedia/ores,29100542,172,0,0,0,0.0,0,0
1475,mediawiki-extensions-MultiBoilerplate,wikimedia/mediawiki-extensions-MultiBoilerplate,29091841,97,0,0,0,0.0,0,0
1476,arc-lamp,wikimedia/arc-lamp,28986445,18,0,0,0,0.0,0,0
1477,analytics-limn-language-data,wikimedia/analytics-limn-language-data,28978692,26,0,0,0,0.0,0,0
1478,WikimediaDebug,wikimedia/WikimediaDebug,28932998,22,0,0,0,0.0,0,0
1479,phabricator-extensions-security,wikimedia/phabricator-extensions-security,28833014,6,0,0,0,0.0,0,0
1480,mediawiki-extensions-Html2Wiki,wikimedia/mediawiki-extensions-Html2Wiki,28693054,84,0,0,0,0.0,0,0
1481,swagger-router,wikimedia/swagger-router,28547115,21,0,0,0,0.0,0,0
1482,composer-merge-plugin,wikimedia/composer-merge-plugin,28324879,103,0,0,0,0.0,0,0
1483,shop-theme,wikimedia/shop-theme,28287646,42,0,0,0,0.0,0,0
1484,analytics-abacist,wikimedia/analytics-abacist,28240541,3,0,0,0,0.0,0,0
