org,file_,URL,File,Require,Ensure,Include,Attribute,Hard_coded_string,Command,File_mode,SSH_KEY,Lines_of_code,Comment,defect_status
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_stats/manifests/collector.pp,1,7,7,8,16,90,61,1,7,7,247,26,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/jenkins/manifests/slave.pp,0,0,1,2,3,10,7,0,0,0,35,8,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/landing_page/manifests/params.pp,1,0,0,0,0,0,19,0,0,0,52,4,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_stats/manifests/migration.pp,0,2,2,3,7,27,17,3,2,2,90,11,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-openstack/manifests/auth_file.pp,2,1,0,0,0,1,4,0,0,0,25,5,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/zabbix/manifests/frontend.pp,1,5,5,8,17,71,47,0,4,4,212,33,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/nailgun_demo.pp,3,6,16,14,30,148,108,6,2,2,290,19,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-ssh/manifests/server/service.pp,0,0,1,1,2,5,1,0,0,0,9,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/roles/zabbix/server.pp,0,1,3,4,7,20,25,1,1,1,78,18,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/puppet/manifests/params.pp,0,0,0,0,0,0,22,0,0,0,89,49,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/manifests/site.pp,0,2,1,2,6,28,15,0,2,2,188,6,1
